5011	36	48398	1	5
606	3978	985	2879	2480	3069	1542	2867	522	1496	396	2168	1414	1288	953	404	1321	1897	933	659	1976	784	1128	246	1777	1869	189	1166	519	1482	642	2124	1184	551	666	238
67	36	2	5	0	0	1	5	3	2	0	0	0	2	0	1	0	0	1	1	1	1	1	0	0	0	0	0	1	3	0	0	1	2	0	1	1	1
68	314	5	35	6	19	20	17	14	16	7	10	2	8	15	7	8	2	6	10	7	0	17	4	2	4	10	11	0	9	5	8	4	11	8	5	1	1
69	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	34	1	1	2	3	3	3	2	0	0	0	1	0	1	0	1	2	1	0	1	2	0	1	0	0	4	0	0	0	2	0	0	2	0	1	0	0
71	4	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	137	1	15	5	6	10	10	8	7	3	3	0	2	2	7	2	3	4	6	4	2	5	2	3	0	3	2	0	4	1	4	2	5	0	3	2	1
73	5	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	62	4	1	2	5	11	5	3	0	3	1	0	2	1	1	2	3	2	1	0	0	3	3	0	0	1	1	0	0	0	3	0	3	0	0	0	1
75	146	2	25	7	4	1	10	7	7	4	2	2	7	4	3	1	0	2	8	3	3	5	4	1	0	1	5	1	1	2	6	3	9	3	1	1	1
76	7	1	1	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	165	2	16	3	9	6	5	11	17	4	6	1	2	2	6	3	0	5	8	3	3	5	4	2	0	2	5	0	5	2	5	4	5	5	4	4	1
78	21	3	2	0	2	0	0	5	1	0	1	0	2	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
79	60	1	4	0	0	2	3	2	10	1	1	0	3	0	0	1	0	1	2	5	1	4	2	2	1	1	0	0	2	0	2	1	6	2	0	0	0
80	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	49	3	5	0	6	2	3	0	2	0	1	0	3	0	2	1	1	2	1	1	0	0	1	2	0	0	4	1	4	2	0	0	1	0	0	1	0
82	11	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0
83	21	3	3	0	0	1	5	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0
84	25	3	1	4	2	0	1	2	0	3	0	0	1	0	0	1	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1
85	7	1	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
86	573	11	57	12	53	34	33	31	28	3	11	4	27	15	19	10	1	6	14	10	10	30	10	10	7	17	10	4	14	3	12	13	30	11	7	5	1
87	28	2	3	1	3	2	2	1	0	0	4	0	0	1	1	0	0	0	1	0	0	2	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0
88	35	2	1	0	1	5	0	1	0	0	0	0	5	6	5	4	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
90	28	2	1	3	8	0	3	2	0	2	0	0	2	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
91	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	33	3	1	2	10	0	4	2	0	3	0	0	2	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
93	14	1	2	0	2	2	1	0	2	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	27	2	19	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	64	3	11	5	4	1	7	0	3	1	2	1	1	1	2	0	0	0	1	0	1	5	0	0	0	4	2	0	0	0	3	0	0	3	0	1	2
96	8	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
